Area,Year,Value
Leicester UA,2004,"101,500"
Leicester UA,2005,"115,000"
Leicester UA,2006,"119,500"
Leicester UA,2007,"124,950"
Leicester UA,2008,"125,000"
Leicester UA,2009,"116,250"
Leicester UA,2010,"113,500"
Leicester UA,2011,"120,000"
Nottingham UA,1996,"37,500"
Nottingham UA,1997,"42,000"
Nottingham UA,1998,"40,750"
Nottingham UA,1999,"43,500"
Nottingham UA,2000,"45,000"
Nottingham UA,2001,"48,950"
Nottingham UA,2002,"58,991"
Nottingham UA,2003,"75,000"
Nottingham UA,2004,"92,000"
Nottingham UA,2005,"105,500"
Nottingham UA,2006,"104,975"
Nottingham UA,2007,"109,352"
Nottingham UA,2008,"104,000"
Nottingham UA,2009,"98,000"
Nottingham UA,2010,"92,500"
Nottingham UA,2011,"95,000"
WEST MIDLANDS,1996,"49,000"
WEST MIDLANDS,1997,"52,000"
WEST MIDLANDS,1998,"54,500"
WEST MIDLANDS,1999,"57,200"
WEST MIDLANDS,2000,"63,000"
WEST MIDLANDS,2001,"69,995"
WEST MIDLANDS,2002,"79,350"
WEST MIDLANDS,2003,"95,500"
WEST MIDLANDS,2004,"117,679"
WEST MIDLANDS,2005,"129,000"
WEST MIDLANDS,2006,"135,000"
WEST MIDLANDS,2007,"140,000"
WEST MIDLANDS,2008,"142,000"
WEST MIDLANDS,2009,"130,000"
WEST MIDLANDS,2010,"140,000"
WEST MIDLANDS,2011,"138,000"
West Midlands (Met County),1996,"45,000"
West Midlands (Met County),1997,"48,000"
West Midlands (Met County),1998,"50,000"
West Midlands (Met County),1999,"51,500"
West Midlands (Met County),2000,"56,500"
West Midlands (Met County),2001,"60,000"
West Midlands (Met County),2002,"70,500"
West Midlands (Met County),2003,"88,000"
West Midlands (Met County),2004,"107,000"
West Midlands (Met County),2005,"120,000"
West Midlands (Met County),2006,"125,000"
West Midlands (Met County),2007,"130,000"
West Midlands (Met County),2008,"130,000"
West Midlands (Met County),2009,"120,500"
West Midlands (Met County),2010,"124,500"
West Midlands (Met County),2011,"125,000"
Birmingham,1996,"44,000"
Birmingham,1997,"46,500"
Birmingham,1998,"49,000"
Birmingham,1999,"51,000"
Birmingham,2000,"57,000"
Birmingham,2001,"61,000"
Birmingham,2002,"70,000"
Birmingham,2003,"92,000"
Birmingham,2004,"112,000"
Birmingham,2005,"123,975"
Birmingham,2006,"128,000"
Birmingham,2007,"134,950"
Birmingham,2008,"135,000"
Birmingham,2009,"120,000"
Birmingham,2010,"122,500"
Birmingham,2011,"124,950"
EAST MIDLANDS,1996,"55,500"
EAST MIDLANDS,1997,"59,950"
EAST MIDLANDS,1998,"65,000"
EAST MIDLANDS,1999,"70,000"
EAST MIDLANDS,2000,"80,000"
EAST MIDLANDS,2001,"89,995"
EAST MIDLANDS,2002,"110,000"
EAST MIDLANDS,2003,"137,500"
EAST MIDLANDS,2004,"153,500"
EAST MIDLANDS,2005,"165,000"
EAST MIDLANDS,2006,"170,000"
EAST MIDLANDS,2007,"183,000"
EAST MIDLANDS,2008,"190,000"
EAST MIDLANDS,2009,"167,000"
EAST MIDLANDS,2010,"195,000"
EAST MIDLANDS,2011,"185,000"
LONDON,1996,"72,300"
LONDON,1997,"80,000"
LONDON,1998,"90,000"
LONDON,1999,"104,000"
LONDON,2000,"130,000"
LONDON,2001,"144,500"
LONDON,2002,"161,500"
LONDON,2003,"190,000"
LONDON,2004,"208,000"
LONDON,2005,"225,000"
LONDON,2006,"235,000"
LONDON,2007,"250,000"
LONDON,2008,"263,500"
LONDON,2009,"248,000"
LONDON,2010,"280,000"
LONDON,2011,"288,000"
Inner London,1996,"80,000"
Inner London,1997,"92,500"
Inner London,1998,"106,500"
Inner London,1999,"125,000"
Inner London,2000,"160,000"
Inner London,2001,"176,250"
Inner London,2002,"190,000"
Inner London,2003,"212,500"
Inner London,2004,"230,000"
Inner London,2005,"245,255"
Inner London,2006,"250,000"
Inner London,2007,"294,950"
Inner London,2008,"310,000"
Inner London,2009,"300,000"
Inner London,2010,"342,000"
Inner London,2011,"354,742"
Kensington and Chelsea,1996,"178,000"
Kensington and Chelsea,1997,"205,000"
Kensington and Chelsea,1998,"233,750"
Kensington and Chelsea,1999,"260,075"
Kensington and Chelsea,2000,"330,000"
Kensington and Chelsea,2001,"350,000"
Kensington and Chelsea,2002,"370,000"
Kensington and Chelsea,2003,"410,000"
Kensington and Chelsea,2004,"425,000"
Kensington and Chelsea,2005,"450,000"
Kensington and Chelsea,2006,"499,999"
Kensington and Chelsea,2007,"620,000"
Kensington and Chelsea,2008,"695,000"
Kensington and Chelsea,2009,"610,000"
Kensington and Chelsea,2010,"725,000"
Kensington and Chelsea,2011,"791,400"
Westminster,1996,"125,000"
Westminster,1997,"147,250"
Westminster,1998,"170,000"
Westminster,1999,"210,000"
Westminster,2000,"249,950"
Westminster,2001,"262,000"
Westminster,2002,"295,000"
Westminster,2003,"315,000"
Westminster,2004,"337,429"
Westminster,2005,"368,000"
Westminster,2006,"400,000"
Westminster,2007,"443,500"
Westminster,2008,"499,000"
Westminster,2009,"450,000"
Westminster,2010,"585,000"
Westminster,2011,"600,000"
Outer London,1996,"70,000"
Outer London,1997,"75,000"
Outer London,1998,"85,000"
Outer London,1999,"94,500"
Outer London,2000,"118,000"
Outer London,2001,"130,000"
Outer London,2002,"150,000"
Outer London,2003,"182,000"
Outer London,2004,"196,000"
Outer London,2005,"211,000"
Outer London,2006,"220,000"
Outer London,2007,"238,000"
Outer London,2008,"249,950"
Outer London,2009,"225,000"
Outer London,2010,"249,995"
Outer London,2011,"250,000"
East Sussex,1996,"56,500"
East Sussex,1997,"60,000"
East Sussex,1998,"67,500"
East Sussex,1999,"72,950"
East Sussex,2000,"83,000"
East Sussex,2001,"93,000"
East Sussex,2002,"113,000"
East Sussex,2003,"142,000"
East Sussex,2004,"160,000"
East Sussex,2005,"170,000"
East Sussex,2006,"173,500"
East Sussex,2007,"185,000"
East Sussex,2008,"203,000"
East Sussex,2009,"175,000"
East Sussex,2010,"205,000"
East Sussex,2011,"194,000"
